Name on the Register,url,Register_number,Coordinates,Neighborhood,Description,Link_works,wiki,latitude,longitude,geometry
Washington Bridge,https://en.wikipedia.org/wiki/Washington_Bridge,83001645,40°50′42″N 73°55′29″W,Morris Heights,Bridge from Harlem to the Bronx,1.0,"The Washington Bridge is a 2,375-foot (724 m)-long arch bridge over the Harlem River in New York City between the boroughs of Manhattan and the Bronx. The crossing, opened in 1888, connects 181st Street and Amsterdam Avenue in Washington Heights, Manhattan, with University Avenue in Morris Heights, Bronx. It carries six lanes of traffic, as well as sidewalks on both sides. Ramps at either end of the bridge connect to the Trans-Manhattan Expressway and the Cross-Bronx Expressway.
The two-hinged arch bridge was designed by Charles C. Schneider and Wilhelm Hildenbrand, with modifications to the design made by the Union Bridge Company, William J. McAlpine, Theodore Cooper, and DeLemos & Cordes, with Edward H. Kendall as consulting architect. The bridge features steel-arch construction with two 510-foot (160 m) main arches and masonry approaches. The bridge is operated and maintained by the New York City Department of Transportation. It once carried U.S. Route 1, which now travels over the Alexander Hamilton Bridge. The Washington Bridge is designated as a city landmark by the New York City Landmarks Preservation Commission and is listed on the National Register of Historic Places.
The Washington Bridge had been planned since the 1860s, but progress was delayed for two decades due to various disputes. The final plan was chosen and modified after an architectural design competition in 1885, and work began in July 1886. Pedestrians with passes could use the bridge by December 1888, and the Washington Bridge was being used for regular travel by the next year, though an official opening ceremony never took place. At the Washington Bridge's completion, it was widely praised as an architectural accomplishment of New York City. Automobiles were able to use the bridge after 1906. After the George Washington Bridge across the Hudson River connecting to New Jersey in the west was completed in 1931, the Harlem River crossing served as a connector for traffic between New Jersey and the Bronx. The Alexander Hamilton Bridge was completed in 1963, diverting traffic from the Washington Bridge. After a period of deterioration, the Washington Bridge underwent reconstruction from 1989 to 1993.",40.5042,-73.5529,POINT (-73.55289999999999 40.5042)
Wave Hill,https://en.wikipedia.org/wiki/Wave_Hill,83001646,40°53′55″N 73°54′47″W,Riverdale,,1.0,"Wave Hill is a 28-acre (11 ha) estate in the Hudson Hill section of Riverdale in the Bronx, New York City. Wave Hill currently consists of public horticultural gardens and a cultural center, all situated on the slopes overlooking the Hudson River, with expansive views across the river to the New Jersey Palisades. The estate includes two houses and a botanical garden. The oldest part of the main house, Wave Hill House, dates back to 1843; Glyndor House dates from 1927 and contains a multi-room art gallery. Perkins Visitor Center, which was originally a garage, contains a gift shop and an information desk.
During the late 19th century and early 20th century, numerous highly notable people resided in Wave Hill, either because they owned it, leased it, or stayed there as guests. In 1960, the estate was given to the City of New York, and Wave Hill is now a cultural center as well as a garden. In addition to visual arts exhibits, paid-ticket concert series take place on some Sunday afternoons in Armor Hall. Wave Hill is listed on the National Register of Historic Places and is a New York City designated landmark.

",40.5355,-73.5447,POINT (-73.54470000000001 40.5355)
Westchester Square Station (Dual System IRT),https://en.wikipedia.org/wiki/Westchester_Square_%E2%80%93_East_Tremont_Avenue_(IRT_Pelham_Line),05000227,40°50′23″N 73°50′38″W,Westchester Square,Subway station (6 and <6>​ trains),1.0,"The Westchester Square–East Tremont Avenue station (formerly Westchester Square station) is a local station on the IRT Pelham Line of the New York City Subway. Located at the intersection of East Tremont and Westchester Avenues in Westchester Square, Bronx, it is served by the 6 train at all times except weekdays in the peak direction, when the <6> train takes over.

",40.5023,-73.5038,POINT (-73.5038 40.5023)
Williamsbridge Oval Park,https://en.wikipedia.org/wiki/Williamsbridge_Oval,15000229,40°52′39″N 73°52′39″W,Norwood,WPA-funded park built on former reservoir site in 1937 features a Beaux Arts landscape and modernist recreation center,1.0,"The Williamsbridge Oval is a park located in Norwood, Bronx, New York City. It is listed in the National Register of Historic Places.",40.5239,-73.5239,POINT (-73.5239 40.5239)
Woodlawn Cemetery,https://en.wikipedia.org/wiki/Woodlawn_Cemetery_(Bronx),11000563,40°53′43″N 73°51′49″W,Woodlawn,"Cemetery illustrates transition from rural cemetery to 20th-century styles; final resting place of Robert Moses, Elizabeth Cady Stanton and Jay Gould, among others.",1.0,"A woodland cemetery is a cemetery where the original landscape with existing trees has been given much influence on the landscape architecture of the cemetery, and where the graves are fitted in among the trees. A woodland cemetery is designed so that the landscape is given a more prominent position, and grave monuments, chapels and other buildings are given less prominent positions. The trees of the cemetery might originally have been a woodland or a tighter forest where a portion of the trees have been removed, and some of the trees might be planted as well. Among famous woodland cemeteries that became models for other cemeteries of similar design are the Munich Waldfriedhof of 1907 in Germany, often mentioned as the first woodland cemetery, and Skogskyrkogården outside of Stockholm in Sweden which is declared a World Heritage Site. The Woodlands (Philadelphia), an arboretum which was turned into a Victorian rural cemetery in 1840, is a National Historic Landmark District.
The best-known woodland cemeteries are the large ones constructed by well-known architects; however, there are also several woodland cemeteries in northernmost Sweden that predate both Skogskyrkogården and the German  Waldfriedhof style. The woodland cemetery in Karesuando in the northernmost municipality of the country, Kiruna Municipality, was consecrated in 1816.
The avant-garde composer Karlheinz Stockhausen is buried in the woodland cemetery overlooking Kürten.

",40.5343,-73.5149,POINT (-73.5149 40.5343)
Woodlawn Station (Dual System IRT),https://en.wikipedia.org/wiki/Woodlawn_(IRT_Jerome_Avenue_Line),05000679,40°53′09″N 73°52′45″W,Norwood near Woodlawn,Subway station (4 train); Arts and Crafts-inspired terminal station,1.0,"The Woodlawn station (sometimes called Woodlawn–Jerome Avenue station) is the northern terminal of the New York City Subway's IRT Jerome Avenue Line. The station is located at the intersection of Bainbridge and Jerome Avenues, outside Woodlawn Cemetery. Despite the station name, this intersection is in the Norwood section of the Bronx, and not in Woodlawn. It is served by the 4 train at all times. This station was constructed by the Interborough Rapid Transit Company as part of the Dual Contracts and opened in 1918.
Its opening helped spur development of the area that had begun with the opening of nearby Woodlawn Cemetery. Following renovations in 2005, it was listed on the National Register of Historic Places for its use of ornamental concrete. A public art display of stained glass called Children at Play was also installed.",40.5309,-73.5245,POINT (-73.5245 40.5309)
Elizabeth Alice Austen House – Clear Comfort,https://en.wikipedia.org/wiki/Elizabeth_Alice_Austen_House,70000925,40°36′54″N 74°03′49″W,Rosebank,,1.0,"The Alice Austen House, also known as Clear Comfort,  is located at 2 Hylan Boulevard in the Rosebank section of Staten Island, New York City, New York. It was home of Alice Austen, a photographer, for most of her lifetime, and is now a museum and a member of the Historic House Trust. The house is administered by the ""Friends of Alice Austen"", a volunteer group. Today, the Alice Austen House hosts many school programs, including photography summer camps and day trips for classes of all age groups.",40.3654,-74.0349,POINT (-74.03489999999999 40.3654)
Battery Weed,https://en.wikipedia.org/wiki/Battery_Weed,72000908,40°36′19″N 74°03′17″W,Fort Wadsworth,,1.0,"Battery Weed is a four-tiered 19th century fortification guarding the Narrows, the main approach from the Atlantic Ocean to New York City. Located on the Staten Island waterfront on the west shore of the Narrows, directly across from Fort Hamilton and the now-destroyed Fort Lafayette in Brooklyn, the fort was intended to protect New York from attack by sea. When built, it was named Fort Richmond, as was a previous fort on the site.

",40.3619,-74.0317,POINT (-74.0317 40.3619)
Billiou-Stillwell-Perine House,https://en.wikipedia.org/wiki/Billiou-Stillwell-Perine_House,76001269,40°35′34″N 74°06′03″W,Dongan Hills,,1.0,"The Billiou–Stillwell–Perine House is a Dutch Colonial structure and the oldest standing building on Staten Island, New York.

",40.3534,-74.0603,POINT (-74.0603 40.3534)
Building at One Pendleton Place,https://en.wikipedia.org/wiki/Building_at_One_Pendleton_Place,14000874,40°38′29″N 74°05′32″W,New Brighton,1860 village is rare surviving High Victorian Picturesque structure in New York City,1.0,"One Pendleton Place, also known as the William S. Pendleton House, is a historic home located in the New Brighton neighborhood of Staten Island, New York.  It was built in 1860, and is a three-story, picturesque Italianate villa style frame dwelling with a multi-gabled roof.   It features asymmetrical massing, a four-story conical-roofed entry tower, and multiple porches including a wrap-around verandah.It was designated a New York City Landmark in 2006, and was listed on the National Register of Historic Places in 2014.",40.3829,-74.0532,POINT (-74.0532 40.3829)
Boardman–Mitchell House,https://en.wikipedia.org/wiki/Boardman%E2%80%93Mitchell_House,11001004,40°37′29″N 74°04′29″W,Stapleton,,1.0,"The Boardman–Mitchell House is a three-story, six-bedroom Italianate villa located at 710 Bay Street, Staten Island, New York.   It also has the address of 33 Brownell Street since it connects to both streets.   It is a New York City Landmark and was listed on the National Register of Historic Places in 2012.  It is known as a good example of a suburban architectural style used in an urban setting, as well as its connection to the piloting history of that portion of Staten Island.

",40.3729,-74.0429,POINT (-74.0429 40.3729)
Brighton Heights Reformed Church,https://en.wikipedia.org/wiki/Brighton_Heights_Reformed_Church,82003399,40°38′29″N 74°04′43″W,Brighton Heights,,1.0,"Brighton Heights Reformed Church is a Dutch Reformed church at 320 St. Marks Place in St. George, Staten Island, New York City. It is the second of two church buildings that have stood on the site.
The AIA Guide to New York City (1978) states that the original church was built in 1866, although the construction for the previous location began in 1818, and became independent in 1823, with one of its founding members being Vice President Daniel D. Tompkins.The original building was added to the National Register of Historic Places in 1982. The current structure is not the one added to the NRHP. The original structure was destroyed in an accidental fire in the 1990s.",40.3829,-74.0443,POINT (-74.04430000000001 40.3829)
